doc,authors,institution,title,abstract,keywords,language,status_article,pages,year,date,country,city,latitud,longitud,Views
5691,Lucas Brusamarello,Universidade Federal do Rio Grande do Sul - UFRGS,Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas,"In nanometric technologies, variations in CMOS parameters are a challenge for designing circuits with appropriate yield. In this work we propose an efficient and accurate methodology for the statistical modeling of circuits. Error propagation and numerical techniques are applied for electrical-level modeling of random and systematic variations during the manufacturing process. The model considers covariances between parameters and spatial correlation, and has as output statistical estimators that can be used in higher-level tools, such as statistical delay analysis (SSTA) tools. Furthermore, we developed a methodology for the quantitative analysis of the contribution of each parameter to the variance of the circuit response. As case studies, we model the yield of a SRAM memory and a dynamic precharge NOR gate. In the first, we consider the impact of channel length and threshold voltage on SRAM memory cell access time. We develop a probabilistic model for the delay of a dynamic NOR with static keeper, considering variations in channel width and threshold voltage. We compared the results calculated by the proposed methodology with statistical data obtained from Monte Carlo simulations. We report a performance gain of 70×, with an error of less than 1%.",,pt_BR,Published,20,2008,2008-08-31 14:42:32,Brazil,Porto Alegre,-300.324.999,-512.303.767,969
5691,Roberto da Silva,Universidade Federal do Rio Grande do Sul - UFRGS,Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas,"In nanometric technologies, variations in CMOS parameters are a challenge for designing circuits with appropriate yield. In this work we propose an efficient and accurate methodology for the statistical modeling of circuits. Error propagation and numerical techniques are applied for electrical-level modeling of random and systematic variations during the manufacturing process. The model considers covariances between parameters and spatial correlation, and has as output statistical estimators that can be used in higher-level tools, such as statistical delay analysis (SSTA) tools. Furthermore, we developed a methodology for the quantitative analysis of the contribution of each parameter to the variance of the circuit response. As case studies, we model the yield of a SRAM memory and a dynamic precharge NOR gate. In the first, we consider the impact of channel length and threshold voltage on SRAM memory cell access time. We develop a probabilistic model for the delay of a dynamic NOR with static keeper, considering variations in channel width and threshold voltage. We compared the results calculated by the proposed methodology with statistical data obtained from Monte Carlo simulations. We report a performance gain of 70×, with an error of less than 1%.",,pt_BR,Published,20,2008,2008-08-31 14:42:32,Brazil,Porto Alegre,-300.324.999,-512.303.767,969
5692,Ivan Torres Pisa,Universidade Federal de São Paulo - UNIFESP,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais,"Breathing is the first vital function developed at birth, establishing itself as the main function of the organism. Chronic mouth breathing can cause postural changes, in addition to causing less effort on the diaphragm muscle. This article aims to present results on the application of an unsupervised artificial neural network model, specifically the self-organizing map (SOM), to assist in the diagnosis and evaluation of the clinical evolution of children's posture. mouth and nasal breathers. We presented as standard input to the SOM the variables of posture and distance of the diaphragm muscle excursion of 30 mouth-breathing children and 22 nasal-breathing children. The SOM had a 95% accuracy rate in diagnosing mouth and nasal breathing children. From the resulting topology it was possible to define categorizations of the patients' posture.",,pt_BR,Published,16,2008,2008-08-31 14:57:56,Brazil,Sao Paulo,-235.506.507,-466.333.824,2847
5692,Shirley Shizue Nagata Pignatari,Universidade Federal de São Paulo - UNIFESP,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais,"Breathing is the first vital function developed at birth, establishing itself as the main function of the organism. Chronic mouth breathing can cause postural changes, in addition to causing less effort on the diaphragm muscle. This article aims to present results on the application of an unsupervised artificial neural network model, specifically the self-organizing map (SOM), to assist in the diagnosis and evaluation of the clinical evolution of children's posture. mouth and nasal breathers. We presented as standard input to the SOM the variables of posture and distance of the diaphragm muscle excursion of 30 mouth-breathing children and 22 nasal-breathing children. The SOM had a 95% accuracy rate in diagnosing mouth and nasal breathing children. From the resulting topology it was possible to define categorizations of the patients' posture.",,pt_BR,Published,16,2008,2008-08-31 14:57:56,Brazil,Sao Paulo,-235.506.507,-466.333.824,2847
5692,Felipe Mancini,Universidade Federal de São Paulo - UNIFESP,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais,"Breathing is the first vital function developed at birth, establishing itself as the main function of the organism. Chronic mouth breathing can cause postural changes, in addition to causing less effort on the diaphragm muscle. This article aims to present results on the application of an unsupervised artificial neural network model, specifically the self-organizing map (SOM), to assist in the diagnosis and evaluation of the clinical evolution of children's posture. mouth and nasal breathers. We presented as standard input to the SOM the variables of posture and distance of the diaphragm muscle excursion of 30 mouth-breathing children and 22 nasal-breathing children. The SOM had a 95% accuracy rate in diagnosing mouth and nasal breathing children. From the resulting topology it was possible to define categorizations of the patients' posture.",,pt_BR,Published,16,2008,2008-08-31 14:57:56,Brazil,Sao Paulo,-235.506.507,-466.333.824,2847
5692,Liu Chiao Yi,Universidade Federal de São Paulo - UNIFESP,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais,"Breathing is the first vital function developed at birth, establishing itself as the main function of the organism. Chronic mouth breathing can cause postural changes, in addition to causing less effort on the diaphragm muscle. This article aims to present results on the application of an unsupervised artificial neural network model, specifically the self-organizing map (SOM), to assist in the diagnosis and evaluation of the clinical evolution of children's posture. mouth and nasal breathers. We presented as standard input to the SOM the variables of posture and distance of the diaphragm muscle excursion of 30 mouth-breathing children and 22 nasal-breathing children. The SOM had a 95% accuracy rate in diagnosing mouth and nasal breathing children. From the resulting topology it was possible to define categorizations of the patients' posture.",,pt_BR,Published,16,2008,2008-08-31 14:57:56,Brazil,Sao Paulo,-235.506.507,-466.333.824,2847
5692,Antonio Carlos Roque,Universidade de São Paulo - USP,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais,"Breathing is the first vital function developed at birth, establishing itself as the main function of the organism. Chronic mouth breathing can cause postural changes, in addition to causing less effort on the diaphragm muscle. This article aims to present results on the application of an unsupervised artificial neural network model, specifically the self-organizing map (SOM), to assist in the diagnosis and evaluation of the clinical evolution of children's posture. mouth and nasal breathers. We presented as standard input to the SOM the variables of posture and distance of the diaphragm muscle excursion of 30 mouth-breathing children and 22 nasal-breathing children. The SOM had a 95% accuracy rate in diagnosing mouth and nasal breathing children. From the resulting topology it was possible to define categorizations of the patients' posture.",,pt_BR,Published,16,2008,2008-08-31 14:57:56,Brazil,Sao Paulo,-235.506.507,-466.333.824,2847
5693,Paulo R. M. Maciel,Universidade Federal de Pernambuco - UFPE,Performance Evaluation of CORBA Concurrency Control Service Using Stochastic Petri Nets,"The interest in performance evaluation of middleware systems is increasing. Measurement techniques are still predominant among those used to carry out performance evaluation. However, performance models are currently being defined due to their flexibility, precision and facilities to carry out capacity planning activities. This paper presents stochastic Petri net models for performance evaluation of the CORBA Concurrency Control Service (CCS), which mediates concurrent access to objects. In order to validate the proposed models, CCS performance results obtained using those models are then compared against ones obtained through actual measurements.",,pt_BR,Published,23,2008,2008-08-31 15:08:27,Brazil,Recife,-80.584.933,-348.848.193,1047
5693,Roberta A. A. Fagundes,Universidade Federal de Pernambuco - UFPE,Performance Evaluation of CORBA Concurrency Control Service Using Stochastic Petri Nets,"The interest in performance evaluation of middleware systems is increasing. Measurement techniques are still predominant among those used to carry out performance evaluation. However, performance models are currently being defined due to their flexibility, precision and facilities to carry out capacity planning activities. This paper presents stochastic Petri net models for performance evaluation of the CORBA Concurrency Control Service (CCS), which mediates concurrent access to objects. In order to validate the proposed models, CCS performance results obtained using those models are then compared against ones obtained through actual measurements.",,pt_BR,Published,23,2008,2008-08-31 15:08:27,Brazil,Recife,-80.584.933,-348.848.193,1047
5693,Nelson S. Rosa,Universidade Federal de Pernambuco - UFPE,Performance Evaluation of CORBA Concurrency Control Service Using Stochastic Petri Nets,"The interest in performance evaluation of middleware systems is increasing. Measurement techniques are still predominant among those used to carry out performance evaluation. However, performance models are currently being defined due to their flexibility, precision and facilities to carry out capacity planning activities. This paper presents stochastic Petri net models for performance evaluation of the CORBA Concurrency Control Service (CCS), which mediates concurrent access to objects. In order to validate the proposed models, CCS performance results obtained using those models are then compared against ones obtained through actual measurements.",,pt_BR,Published,23,2008,2008-08-31 15:08:27,Brazil,Recife,-80.584.933,-348.848.193,1047
5694,Jacques Wainer,Universidade Estadual de Campinas - Unicamp,Processos de Decisão de Markov: um tutorial,"There are situations in which decisions must be made in sequence, and the result of each decision is not clear to the decision maker. These situations can be mathematically formulated as Markov decision processes, and given the probabilities of the values ​​resulting from the decisions, it is possible to determine a policy that maximizes the expected value of the sequence of decisions. This tutorial describes Markov decision processes (both the fully observable and partially observable case) and briefly discusses some methods for their solution. Semi-Markov processes are not discussed.",,pt_BR,Published,46,2008,2008-08-31 15:18:00,Brazil,Campinas,-229.056.391,-47.059.564,9516
5694,Jerônimo Pellegrini,Universidade Estadual de Campinas - Unicamp,Processos de Decisão de Markov: um tutorial,"There are situations in which decisions must be made in sequence, and the result of each decision is not clear to the decision maker. These situations can be mathematically formulated as Markov decision processes, and given the probabilities of the values ​​resulting from the decisions, it is possible to determine a policy that maximizes the expected value of the sequence of decisions. This tutorial describes Markov decision processes (both the fully observable and partially observable case) and briefly discusses some methods for their solution. Semi-Markov processes are not discussed.",,pt_BR,Published,46,2008,2008-08-31 15:18:00,Brazil,Campinas,-229.056.391,-47.059.564,9516
5695,João Porto de Albuquerque,Universidade de Hamburgo,Aspectos sociotécnicos da computação: contextualizando o desenvolvimento de sistemas de computação com o modelo Mikropolis,"This paper discusses the need of considering sociotechnical aspectsin the scientific and professional practice of computing. In the pursuit of this goal, the paper firstly places the research on sociotechnical aspects of computing in a historical context and outlines the current research scenario in the area. Subsequently, the Mikropolis Model is explained—a model developed to provide orientation to the practical activities of the computing professional in respect to the social aspects of these activities. Furthermore, the paper discusses how to bring the model closer to the particular Brazilian context, in order to achieve analytical and didactic instruments especially suited to the reality in Brazil.",,pt_BR,Published,16,2008,2008-08-31 15:24:27,Alemanha,Hamburgo,53.550.341,10.000.654,1691
5696,Rafael Prikladnicki,Universidade Federal do Rio de Janeiro - UFRJ,Um Olhar Sociotécnico sobre a Engenharia de Software,"New technologies modify the form and the substance of socialcontrol, participation and cohesion. However, as they modify, they are also modified by social practices in such a way it is possible to argue that social and technical dimensions constitute a process of mutual construction, only apprehended through an approach simultaneously social and technical, trough a sociotechnical frame. This article presents some of this frame’s main features, as well as its challenges to software engineering.",,pt_BR,Published,20,2008,2008-08-31 15:31:37,Brazil,Rio de Janeiro,-229.110.137,-432.093.727,9613
5696,Henrique Luiz Cukierman,Universidade Federal do Rio de Janeiro - UFRJ,Um Olhar Sociotécnico sobre a Engenharia de Software,"New technologies modify the form and the substance of socialcontrol, participation and cohesion. However, as they modify, they are also modified by social practices in such a way it is possible to argue that social and technical dimensions constitute a process of mutual construction, only apprehended through an approach simultaneously social and technical, trough a sociotechnical frame. This article presents some of this frame’s main features, as well as its challenges to software engineering.",,pt_BR,Published,20,2008,2008-08-31 15:31:37,Brazil,Rio de Janeiro,-229.110.137,-432.093.727,9613
5696,Cássio Teixeira,Universidade Federal do Rio de Janeiro - UFRJ,Um Olhar Sociotécnico sobre a Engenharia de Software,"New technologies modify the form and the substance of socialcontrol, participation and cohesion. However, as they modify, they are also modified by social practices in such a way it is possible to argue that social and technical dimensions constitute a process of mutual construction, only apprehended through an approach simultaneously social and technical, trough a sociotechnical frame. This article presents some of this frame’s main features, as well as its challenges to software engineering.",,pt_BR,Published,20,2008,2008-08-31 15:31:37,Brazil,Rio de Janeiro,-229.110.137,-432.093.727,9613
5746,Luciano Silva,Universidade Federal do Paraná - UFPR,Computer Vision and Graphics for Heritage Preservation and Digital Archaeology,"The goal of this work is to provide attendees with a survey of topics related to Heritage Preservation and Digital Archeology, which are challenging and motivating subjects to both computer vision and graphics community. These issues have been gaining increasing attention and priority within the scientific scenario and among funding agencies and development organizations over the last years. Motivations to this work are the recent efforts in the digital preservation of cultural heritage objects and sites before degradation or damage caused by environmental factors or  human development. One of the main focuses of these researches is the development of new techniques for realistic 3D model building from images, preserving as much information as possible. We intend to introduce and discuss several emerging topics in computer vision and graphics related to the proposed theme while highlighting the major contributions and advances in these fields.",,pt_BR,Published,22,2008,2008-09-03 20:16:12,Brazil,Curitiba,-254.295.963,-492.712.724,1156
5746,Olga R. P. Bellon,Universidade Federal do Paraná - UFPR,Computer Vision and Graphics for Heritage Preservation and Digital Archaeology,"The goal of this work is to provide attendees with a survey of topics related to Heritage Preservation and Digital Archeology, which are challenging and motivating subjects to both computer vision and graphics community. These issues have been gaining increasing attention and priority within the scientific scenario and among funding agencies and development organizations over the last years. Motivations to this work are the recent efforts in the digital preservation of cultural heritage objects and sites before degradation or damage caused by environmental factors or  human development. One of the main focuses of these researches is the development of new techniques for realistic 3D model building from images, preserving as much information as possible. We intend to introduce and discuss several emerging topics in computer vision and graphics related to the proposed theme while highlighting the major contributions and advances in these fields.",,pt_BR,Published,22,2008,2008-09-03 20:16:12,Brazil,Curitiba,-254.295.963,-492.712.724,1156
5746,Kim L. Boyer,Universidade de Ohio - OSU,Computer Vision and Graphics for Heritage Preservation and Digital Archaeology,"The goal of this work is to provide attendees with a survey of topics related to Heritage Preservation and Digital Archeology, which are challenging and motivating subjects to both computer vision and graphics community. These issues have been gaining increasing attention and priority within the scientific scenario and among funding agencies and development organizations over the last years. Motivations to this work are the recent efforts in the digital preservation of cultural heritage objects and sites before degradation or damage caused by environmental factors or  human development. One of the main focuses of these researches is the development of new techniques for realistic 3D model building from images, preserving as much information as possible. We intend to introduce and discuss several emerging topics in computer vision and graphics related to the proposed theme while highlighting the major contributions and advances in these fields.",,pt_BR,Published,22,2008,2008-09-03 20:16:12,Estados Unidos,Ohio,402.253.569,-826.881.395,1156
5759,José Palazzo Moreira de Oliveira,Universidade Federal do Rio Grande do Sul - UFRGS,Editorial,"The existence of high-quality publications is one of the indicators of the maturity of a research area. The UFRGS Institute of Informatics has, therefore, been working hard to gain a space of national recognition for the Journal of Theoretical and Applied Informatics (RITA). Our objective is to continue on the path of improvement and qualification of this publication. Currently, we have been publishing the Journal uninterruptedly for 18 years, since 1989. This is a case of success in Brazilian university publications, on this path of quality and wide dissemination of knowledge we are launching the Electronic Edition of the Journal of Theoretical and Applied Informatics , this being the first issue with paper and electronic edition.",,pt_BR,Published,1,2008,2008-09-04 22:10:19,Brazil,Porto Alegre,-300.324.999,-512.303.767,554
5759,Lizandro Z. Granville,Universidade Federal do Rio Grande do Sul - UFRGS,Editorial,"The existence of high-quality publications is one of the indicators of the maturity of a research area. The UFRGS Institute of Informatics has, therefore, been working hard to gain a space of national recognition for the Journal of Theoretical and Applied Informatics (RITA). Our objective is to continue on the path of improvement and qualification of this publication. Currently, we have been publishing the Journal uninterruptedly for 18 years, since 1989. This is a case of success in Brazilian university publications, on this path of quality and wide dissemination of knowledge we are launching the Electronic Edition of the Journal of Theoretical and Applied Informatics , this being the first issue with paper and electronic edition.",,pt_BR,Published,1,2008,2008-09-04 22:10:19,Brazil,Porto Alegre,-300.324.999,-512.303.767,554
5759,Luis C. Lamb,Universidade Federal do Rio Grande do Sul - UFRGS,Editorial,"The existence of high-quality publications is one of the indicators of the maturity of a research area. The UFRGS Institute of Informatics has, therefore, been working hard to gain a space of national recognition for the Journal of Theoretical and Applied Informatics (RITA). Our objective is to continue on the path of improvement and qualification of this publication. Currently, we have been publishing the Journal uninterruptedly for 18 years, since 1989. This is a case of success in Brazilian university publications, on this path of quality and wide dissemination of knowledge we are launching the Electronic Edition of the Journal of Theoretical and Applied Informatics , this being the first issue with paper and electronic edition.",,pt_BR,Published,1,2008,2008-09-04 22:10:19,Brazil,Porto Alegre,-300.324.999,-512.303.767,554
5956,José Palazzo Moreira de Oliveira,Universidade Federal do Rio Grande do Sul - UFRGS,Revisores da RITA no JEMS,"The editors of the Journal of Theoretical and Applied Informatics would like to thank the editorial board and the following reviewers, from the period 2005-2007, for their efforts in maintaining the high standard of evaluation of the journal's articles.",,pt_BR,Published,3,2008,2008-09-17 18:07:26,Brazil,Porto Alegre,-300.324.999,-512.303.767,3064
5961,Gladimir V. G. Baranoski,Universidade de Waterloo - UW,An Introduction to Light Interaction with Human Skin,"Despite the notable progress in physically-based rendering, there is still a long way to go before one can automatically generate predictable images of organic materials such as human skin. In this tutorial, the main physical and biological aspects involved in the processes of propagation and absorption of light by skin tissues are examined. These processes affect not only skin appearance, but also its health. For this reason, they have also been the object of study in biomedical research. The models of light interaction with human skin developed by the biomedical community are mainly aimed at the simulation of skin spectral properties which are used to determine the concentration and distribution of various substances. In computer graphics, the focus has been on the simulation of light scattering properties that affect skin appearance. Computer models used to simulate these spectral and scattering properties are described in this tutorial, and their strengths and limitations discussed.Keywords: natural phenomena, biologically and physically-based rendering.",,pt_BR,Published,29,2008,2008-09-18 18:04:15,Belgica,Waterloo,42.498.275,-923.328.743,1508
5961,Aravind Krishnaswamy,Universidade de Waterloo - UW,An Introduction to Light Interaction with Human Skin,"Despite the notable progress in physically-based rendering, there is still a long way to go before one can automatically generate predictable images of organic materials such as human skin. In this tutorial, the main physical and biological aspects involved in the processes of propagation and absorption of light by skin tissues are examined. These processes affect not only skin appearance, but also its health. For this reason, they have also been the object of study in biomedical research. The models of light interaction with human skin developed by the biomedical community are mainly aimed at the simulation of skin spectral properties which are used to determine the concentration and distribution of various substances. In computer graphics, the focus has been on the simulation of light scattering properties that affect skin appearance. Computer models used to simulate these spectral and scattering properties are described in this tutorial, and their strengths and limitations discussed.Keywords: natural phenomena, biologically and physically-based rendering.",,pt_BR,Published,29,2008,2008-09-18 18:04:15,Belgica,Waterloo,42.498.275,-923.328.743,1508
5962,Siome Klein Goldenstein,Universidade Estadual de Campinas - Unicamp,A Gentle Introduction to Predictive Filters,"Predictive filters are essential tools in modern science. They perform state prediction and parameter estimation in fields such as robotics, computer vision, and computer graphics. Sometimes also called Bayesian filters, they apply the Bayesian rule of conditional probability to combine a predicted behavior with some corrupted indirect observation. When we study and solve a problem, we first need its proper mathematical formulation. Finding the essential parameters that best describe the system is hard modeling their behaviors over time is even more challenging. Usually, we also have an inspection mechanism that provides us with indirect measurements, the observations, of the hidden underlying parameters. We also need to deal with the concept of uncertainty, and use random variables to represent both the state and the observations. Predictive filters are a family of estimation techniques. They combine the uncertain prediction from the system’s dynamics and the corrupted observation. There are many different predictive filters, each dealing with different types of mathematical representations for random variables and system dynamics. Here, the reader will find a dense introduction to predictive filters. After a general introduction, we discuss briefly discussion about mathematical modeling of systems: state representation, dynamics, and observation. Then, we expose some basic issues related to random variables and uncertainty modeling, and discuss four implementations of predictive filters, in order of complexity: the Kalman filter, the extended Kalman filter, the particle filter, and the unscented Kalman filter.Keywords: Predictive Filters, Density Estimators, Kalman Filter, Particle Filter, Unscented Kalman Filter.",,pt_BR,Published,29,2008,2008-09-18 23:30:33,Brazil,Campinas,-229.056.391,-47.059.564,9225
5963,Rafael Santos,Instituto de Estudos Avançados – IEAv,Java Advanced Imaging API: A Tutorial,"This tutorial shows how the Java language and its Java Advanced Imaging (JAI) Application Program Interface (API) can be used to create applications for image representation, processing and visualization. The Java language advantages are its low cost, licensing independence and inter-platform portability. The JAI API advantages are its flexibility and variety of image processing operators. The purpose of this tutorial is to present the basic concepts of the JAI API, including several complete and verified code samples which implements simple image processing and visualization operations. At the end of the tutorial the reader should be able to implement his/her own algorithms using the Java language and the JAI API.Keywords: Image processing, Algorithms, Java, Java Advanced Imaging.",,pt_BR,Published,31,2008,2008-09-18 23:35:17,Brazil,Sao Jose dos Campos,-231.867.782,-458.854.538,8010
5964,Jörn Loviscach,Universidade de Bremen,Shader Programming: An Introduction Using the Effect Framework,"Current commodity graphics cards offer programmability through vertex shaders and pixel shaders to create special effects by deformation, lighting, texturing, etc. The Effect framework introduced by Microsoft allows to store shader program code, settings, and a limited graphical user interface within a single .fx text file. This supports a division of labor between programmers writing the code and designers using the GUI elements to control settings. Furthermore, the Effect framework proves to be ideal for experimenting with shader programming — be it for learning purposes or for rapid prototyping. In this tutorial, we employ the Effect framework for an exploratory, hands-on approach, introducing first principles only as needed, not in advance. Simple shader programs are used to review basic 3D techniques such as homogeneous coordinates and the Phong shading model. Then we turn to basic deformation effects employing vertex shaders and the use of texture maps as decals or reflected environments inside pixel shaders. To create bump mapping and related effects, tangent space coordinates and normal maps are introduced. Finally, we treat more complex effects such as anisotropic specular highlights.Keywords: Pixel shader, Vertex shader, HLSL, Effect framework",,pt_BR,Published,39,2008,2008-09-18 23:40:07,Brazil,Bremen,530.758.196,88.071.646,2496
5978,José Palazzo Moreira de Oliveira,Universidade Federal do Rio Grande do Sul - UFRGS,A Revista de Informática Teórica e Aplicada e as Tecnologias de Informação,"This article presents a brief overview of the Journal's history in relation to Information Technologies, describes the actions that are being taken to increase its participation in the Computer Science academic community using the possibilities of the Web, and describes the next features that will be developed . Keywords: RITA, Digital Libraries, Information Technology",,pt_BR,Published,3,2008,2008-09-20 20:32:02,Brazil,Porto Alegre,-300.324.999,-512.303.767,724
